ID	DateTime	User	PC	Activity
SESSION-EMAIL-LOW-7192	27-04-2010 02:52	DTAA/RKF2943	PC-1781	Email Sent
SESSION-LOGOUT-LOW-8634	01-04-2010 13:25	DTAA/EHR5221	PC-7557	Logout
SESSION-LOGIN-LOW-9896	05-04-2010 16:26	DTAA/EHR5221	PC-3090	Login Successful
SESSION-FILE-LOW-1460	01-04-2010 19:27	DTAA/LKF4396	PC-8826	File Opened
SESSION-FILE-LOW-9608	16-04-2010 19:52	DTAA/MDC5734	PC-7537	File Opened
SESSION-FILE-LOW-7860	07-04-2010 16:03	DTAA/FTL9380	PC-5430	File Opened
SESSION-LOGOUT-LOW-7880	07-04-2010 19:11	DTAA/VLN8678	PC-3914	Logout
SESSION-LOGOUT-LOW-1968	19-04-2010 14:30	DTAA/FIO8317	PC-6246	Logout
SESSION-LOGOUT-LOW-4858	29-04-2010 09:14	DTAA/WLN8711	PC-4900	Logout
SESSION-FILE-LOW-7349	26-04-2010 09:29	DTAA/VLN8678	PC-9200	File Opened
SESSION-FILE-LOW-4339	22-04-2010 03:35	DTAA/MVV7994	PC-5860	File Opened
SESSION-LOGIN-LOW-6090	26-04-2010 18:13	DTAA/IEN9832	PC-4450	Login Successful
SESSION-EMAIL-LOW-3921	27-04-2010 20:37	DTAA/MDT8312	PC-9556	Email Sent
SESSION-LOGIN-LOW-2888	24-04-2010 22:30	DTAA/WZX7758	PC-5221	Login Successful
SESSION-LOGOUT-LOW-2781	20-04-2010 23:54	DTAA/HEL9963	PC-4900	Logout
SESSION-FILE-LOW-2892	26-04-2010 11:28	DTAA/VSC6934	PC-7459	File Opened
SESSION-FILE-LOW-3031	19-04-2010 20:17	DTAA/JRU9262	PC-6246	File Opened
SESSION-EMAIL-LOW-3023	23-04-2010 21:27	DTAA/ROB6344	PC-5860	Email Sent
SESSION-LOGIN-LOW-5214	08-04-2010 05:39	DTAA/XYD5525	PC-8074	Login Successful
SESSION-PASSWORD-MEDIUM-8603	22-04-2010 02:02	DTAA/OGL4599	PC-3914	Password Changed
SESSION-PASSWORD-MEDIUM-9726	17-04-2010 10:24	DTAA/FLJ2242	PC-2121	Password Changed
SESSION-LOGOUT-LOW-5065	07-04-2010 17:05	DTAA/LKF4396	PC-5164	Logout
SESSION-LOGIN-LOW-3759	11-04-2010 05:24	DTAA/FIO8317	PC-6406	Login Successful
SESSION-PASSWORD-MEDIUM-8429	10-04-2010 19:46	DTAA/HEL9963	PC-3090	Password Changed
SESSION-LOGIN-LOW-1436	02-04-2010 14:01	DTAA/OGZ7278	PC-9496	Login Successful
SESSION-LOGOUT-LOW-8002	02-04-2010 21:17	DTAA/LEL4307	PC-1781	Logout
SESSION-FILE-LOW-1907	29-04-2010 03:59	DTAA/JRU9262	PC-9493	File Opened
SESSION-FILE-LOW-8227	21-04-2010 10:54	DTAA/RKF2943	PC-5860	File Opened
SESSION-PASSWORD-MEDIUM-7623	09-04-2010 22:26	DTAA/IEN9832	PC-9493	Password Changed
SESSION-EMAIL-LOW-5190	10-04-2010 03:13	DTAA/PJF3517	PC-6406	Email Sent
SESSION-FILE-LOW-3012	13-04-2010 04:46	DTAA/MDT8312	PC-5164	File Opened
SESSION-FILE-LOW-7464	02-04-2010 13:11	DTAA/OGL4599	PC-1726	File Opened
SESSION-LOGOUT-LOW-1510	10-04-2010 13:40	DTAA/MCU7598	PC-7026	Logout
SESSION-PASSWORD-MEDIUM-2981	04-04-2010 04:48	DTAA/ELP5990	PC-7026	Password Changed
SESSION-FILE-LOW-2315	21-04-2010 15:24	DTAA/WLN8711	PC-3025	File Opened
SESSION-FILE-LOW-6731	25-04-2010 01:06	DTAA/ROB6344	PC-8826	File Opened
SESSION-PASSWORD-MEDIUM-4486	30-04-2010 20:03	DTAA/LKF4396	PC-7459	Password Changed
SESSION-PASSWORD-MEDIUM-3088	28-04-2010 07:13	DTAA/NYI5084	PC-1781	Password Changed
SESSION-FILE-LOW-2133	29-04-2010 06:48	DTAA/SPF8256	PC-2121	File Opened
SESSION-MULTIPLE-MEDIUM-8469	22-04-2010 23:04	DTAA/XYD5525	PC-2630	Multiple Failed Login Attempts
SESSION-PASSWORD-MEDIUM-7789	03-04-2010 01:48	DTAA/RKF2943	PC-8826	Password Changed
SESSION-FILE-LOW-5783	12-04-2010 20:18	DTAA/RET4173	PC-4450	File Opened
SESSION-FILE-LOW-1957	25-04-2010 10:19	DTAA/PUV1595	PC-1669	File Opened
SESSION-LOGOUT-LOW-9373	25-04-2010 00:16	DTAA/LEL4307	PC-7537	Logout
SESSION-EMAIL-LOW-1105	30-04-2010 04:52	DTAA/VLN8678	PC-7741	Email Sent
SESSION-LOGIN-LOW-7285	23-04-2010 14:15	DTAA/FIO8317	PC-9493	Login Successful
SESSION-PASSWORD-MEDIUM-2933	24-04-2010 11:11	DTAA/BHZ1136	PC-1726	Password Changed
SESSION-PASSWORD-MEDIUM-1420	16-04-2010 17:07	DTAA/SPF8256	PC-9200	Password Changed
SESSION-LOGIN-LOW-1628	02-04-2010 13:43	DTAA/MZY8397	PC-2630	Login Successful
SESSION-EMAIL-LOW-3533	11-04-2010 01:03	DTAA/YMI9044	PC-5860	Email Sent
SESSION-EMAIL-LOW-5511	05-04-2010 16:20	DTAA/DGX1939	PC-4096	Email Sent
SESSION-LOGIN-LOW-7608	20-04-2010 11:54	DTAA/RXQ5807	PC-7557	Login Successful
SESSION-PASSWORD-MEDIUM-9761	29-04-2010 06:32	DTAA/YVH7263	PC-7638	Password Changed
SESSION-LOGIN-LOW-7471	26-04-2010 07:50	DTAA/WZX7758	PC-4900	Login Successful
SESSION-LOGIN-LOW-6956	20-04-2010 00:54	DTAA/DGX1939	PC-5221	Login Successful
SESSION-FILE-LOW-5563	14-04-2010 11:33	DTAA/MZY8397	PC-4240	File Opened
SESSION-FILE-LOW-7273	26-04-2010 17:01	DTAA/YMI9044	PC-9303	File Opened
SESSION-EMAIL-LOW-5443	16-04-2010 09:34	DTAA/OMQ6976	PC-5430	Email Sent
SESSION-FILE-LOW-2581	04-04-2010 12:31	DTAA/MVV7994	PC-6246	File Opened
SESSION-LOGIN-LOW-8254	28-04-2010 14:46	DTAA/SPF8256	PC-9496	Login Successful
SESSION-LOGIN-LOW-4782	23-04-2010 08:57	DTAA/MYK1298	PC-7537	Login Successful
SESSION-LOGIN-LOW-2817	10-04-2010 21:57	DTAA/PYC2207	PC-7557	Login Successful
SESSION-PASSWORD-MEDIUM-5379	06-04-2010 18:32	DTAA/WZX7758	PC-2459	Password Changed
SESSION-LOGIN-LOW-6479	22-04-2010 13:44	DTAA/IEN9832	PC-4240	Login Successful
SESSION-PASSWORD-MEDIUM-8010	12-04-2010 19:16	DTAA/ZLP4084	PC-2770	Password Changed
SESSION-PASSWORD-MEDIUM-3833	27-04-2010 19:11	DTAA/XYD5525	PC-9577	Password Changed
SESSION-DATA-HIGH-9802	04-04-2010 01:59	DTAA/FIO8317	PC-2630	Data Exfiltration Attempt
SESSION-LOGOUT-LOW-1428	13-04-2010 18:47	DTAA/DGX1939	PC-4450	Logout
SESSION-LOGIN-LOW-8086	04-04-2010 15:05	DTAA/MCU7598	PC-4900	Login Successful
SESSION-FILE-LOW-9378	14-04-2010 17:28	DTAA/RKF2943	PC-1726	File Opened
SESSION-FILE-LOW-8843	29-04-2010 14:57	DTAA/DGX1939	PC-3914	File Opened
SESSION-EMAIL-LOW-5850	05-04-2010 20:10	DTAA/MYK1298	PC-5221	Email Sent
SESSION-PASSWORD-MEDIUM-4194	12-04-2010 06:12	DTAA/HEL9963	PC-1059	Password Changed
SESSION-PASSWORD-MEDIUM-5563	27-04-2010 04:41	DTAA/OGZ7278	PC-8074	Password Changed
SESSION-EMAIL-LOW-1798	21-04-2010 22:23	DTAA/BHZ1136	PC-7459	Email Sent
SESSION-PASSWORD-MEDIUM-2542	25-04-2010 02:23	DTAA/VLN8678	PC-4481	Password Changed
SESSION-LOGOUT-LOW-4928	20-04-2010 20:02	DTAA/LEL4307	PC-9493	Logout
SESSION-LOGOUT-LOW-7675	24-04-2010 05:55	DTAA/OGZ7278	PC-1059	Logout
SESSION-LOGIN-LOW-6949	05-04-2010 09:00	DTAA/FTL9380	PC-9493	Login Successful
SESSION-PASSWORD-MEDIUM-6215	05-04-2010 10:59	DTAA/WLN8711	PC-4481	Password Changed
SESSION-PASSWORD-MEDIUM-8835	20-04-2010 04:23	DTAA/VSC6934	PC-7026	Password Changed
SESSION-EMAIL-LOW-8246	18-04-2010 12:55	DTAA/XYD5525	PC-6335	Email Sent
SESSION-LOGIN-LOW-9019	26-04-2010 19:12	DTAA/ROB6344	PC-9303	Login Successful
SESSION-FILE-LOW-1782	01-04-2010 23:32	DTAA/HEL9963	PC-7026	File Opened
SESSION-EMAIL-LOW-5261	01-05-2010 02:38	DTAA/MDT8312	PC-7200	Email Sent
SESSION-LOGOUT-LOW-5431	05-04-2010 22:19	DTAA/SPF8256	PC-6406	Logout
SESSION-LOGIN-LOW-4591	12-04-2010 22:39	DTAA/LKF4396	PC-8295	Login Successful
SESSION-LOGIN-LOW-7265	17-04-2010 23:25	DTAA/JRU9262	PC-9577	Login Successful
SESSION-LOGOUT-LOW-2374	06-04-2010 13:55	DTAA/PYC2207	PC-5430	Logout
SESSION-MULTIPLE-MEDIUM-2237	24-04-2010 20:54	DTAA/OGZ7278	PC-6870	Multiple Failed Login Attempts
SESSION-PASSWORD-MEDIUM-9526	03-04-2010 04:50	DTAA/OMQ6976	PC-4481	Password Changed
SESSION-SUSPICIOUS-MEDIUM-2540	07-04-2010 10:21	DTAA/YYF1218	PC-4096	Suspicious Login from Foreign IP
SESSION-PASSWORD-MEDIUM-6567	06-04-2010 11:35	DTAA/JRU9262	PC-9496	Password Changed
SESSION-LOGIN-LOW-1857	06-04-2010 04:46	DTAA/DFF5013	PC-3914	Login Successful
SESSION-LOGIN-LOW-2776	22-04-2010 16:51	DTAA/HEL9963	PC-2459	Login Successful
SESSION-LOGOUT-LOW-8921	17-04-2010 04:47	DTAA/MDC5734	PC-3090	Logout
SESSION-EMAIL-LOW-6476	18-04-2010 13:33	DTAA/LKF4396	PC-9200	Email Sent
SESSION-EMAIL-LOW-5919	22-04-2010 18:21	DTAA/FTL9380	PC-3025	Email Sent
SESSION-EMAIL-LOW-1631	08-04-2010 14:51	DTAA/OMQ6976	PC-5430	Email Sent
SESSION-PASSWORD-MEDIUM-9836	01-05-2010 02:18	DTAA/MYK1298	PC-2121	Password Changed
SESSION-EMAIL-LOW-3716	12-04-2010 15:51	DTAA/MDT8312	PC-8295	Email Sent
SESSION-PASSWORD-MEDIUM-4215	07-04-2010 22:57	DTAA/LEL4307	PC-1059	Password Changed
SESSION-LOGOUT-LOW-3884	27-04-2010 09:00	DTAA/DFF5013	PC-8074	Logout
SESSION-PASSWORD-MEDIUM-8668	26-04-2010 21:46	DTAA/OGL4599	PC-5164	Password Changed
SESSION-FILE-LOW-3919	18-04-2010 12:06	DTAA/MCU7598	PC-7459	File Opened
SESSION-FILE-LOW-2784	28-04-2010 13:21	DTAA/ZLP4084	PC-7741	File Opened
SESSION-EMAIL-LOW-4910	12-04-2010 22:06	DTAA/UAZ9086	PC-7200	Email Sent
SESSION-EMAIL-LOW-1975	05-04-2010 06:42	DTAA/VLN8678	PC-7741	Email Sent
SESSION-EMAIL-LOW-5009	10-04-2010 07:24	DTAA/SPF8256	PC-3944	Email Sent
SESSION-PASSWORD-MEDIUM-8738	04-04-2010 01:28	DTAA/FLJ2242	PC-7557	Password Changed
SESSION-PASSWORD-MEDIUM-1824	25-04-2010 10:43	DTAA/YMI9044	PC-4481	Password Changed
SESSION-EMAIL-LOW-5772	07-04-2010 09:33	DTAA/ROB6344	PC-9090	Email Sent
SESSION-FILE-LOW-9813	11-04-2010 04:28	DTAA/IUR1741	PC-1781	File Opened
SESSION-SUSPICIOUS-MEDIUM-2442	24-04-2010 16:19	DTAA/UAZ9086	PC-4450	Suspicious Login from Foreign IP
SESSION-EMAIL-LOW-1453	24-04-2010 21:29	DTAA/XYD5525	PC-4096	Email Sent
SESSION-PASSWORD-MEDIUM-3593	25-04-2010 07:46	DTAA/BRH4303	PC-4900	Password Changed
SESSION-PASSWORD-MEDIUM-4321	18-04-2010 21:31	DTAA/ELP5990	PC-5543	Password Changed
SESSION-LOGIN-LOW-2231	30-04-2010 14:26	DTAA/DFF5013	PC-3944	Login Successful
SESSION-FILE-LOW-7982	19-04-2010 03:38	DTAA/LKF4396	PC-8826	File Opened
SESSION-PASSWORD-MEDIUM-2604	26-04-2010 01:03	DTAA/OMQ6976	PC-6706	Password Changed
SESSION-LOGIN-LOW-9211	05-04-2010 01:13	DTAA/DGX1939	PC-5363	Login Successful
SESSION-PASSWORD-MEDIUM-1177	29-04-2010 22:02	DTAA/YVH7263	PC-3944	Password Changed
SESSION-PASSWORD-MEDIUM-5841	21-04-2010 04:50	DTAA/UAZ9086	PC-4240	Password Changed
SESSION-EMAIL-LOW-7240	29-04-2010 17:02	DTAA/MDC5734	PC-1781	Email Sent
SESSION-EMAIL-LOW-8517	26-04-2010 18:09	DTAA/OGZ7278	PC-5221	Email Sent
SESSION-LOGOUT-LOW-8179	20-04-2010 16:43	DTAA/XTE1549	PC-9200	Logout
SESSION-PASSWORD-MEDIUM-5773	09-04-2010 16:54	DTAA/BCF7710	PC-9090	Password Changed
SESSION-FILE-LOW-9093	02-04-2010 14:22	DTAA/RXQ5807	PC-8301	File Opened
SESSION-LOGIN-LOW-3497	26-04-2010 02:02	DTAA/UAZ9086	PC-5164	Login Successful
SESSION-LOGIN-LOW-4893	16-04-2010 18:25	DTAA/MZY8397	PC-6706	Login Successful
SESSION-LOGIN-LOW-1812	10-04-2010 20:46	DTAA/PYC2207	PC-2630	Login Successful
SESSION-EMAIL-LOW-3701	22-04-2010 00:06	DTAA/AUS9343	PC-1059	Email Sent
